review_text,stars
با سلام به نظر من کسی که از ادبیات سر در می آورد ، همان اوایل کتاب متوجه می شود که با یک شاهکار روبروست . لازم نیست با جهان بینی نویسنده موافق باشیم ، لازم نیست فضای ذهنی نویسنده را دوست بداریم ، یا از خواندن کتاب لذت ببریم(این کتاب برای لذت بردن نوشته نشده)، برای این که بدانیم این رمان یک شاهکار است . هر چند فهم کامل کتاب مشکل است ، اما این به خواننده بر می گردد و نه به نویسنده . اتفاقا مشخص است که نویسنده برای این اثر وقت گذاشته و رویش کار کرده . با نظرات برخی در مورد ایجاد تمایل به خودکشی در خواننده و .. موافق نیستم . آیا کسی که داستان جنایی می خواند ، تمایل به جنایت پیدا می کند ؟ چنین چیزی هر چند ناممکن نیست ، به هیچ وجه معمول هم نیست . البته از نظر من خواندن آن به دلیل در بر داشتن مضامینی همچون خیانت در زندگی زناشویی و.. ، برای زیر بیست و اندی سال توصیه نمی شود . چرا که امید می رود جوانترها در فضای فکری پاک و زلالی رشد کنند و پرورش یابند و ذهنشان درگیر مسائل خاص نشود .,4
بوف کور را آن طوری که رمان های دیگر را میخوانید مطالعه نکنید. بوف کور بهترین نمونه ی سورئال ایران است. سورئال با منطق رئالیسمی و ناتورالیسمی فرق دارد. قرار نیست من یا هر کس دیگری برای شما بگوییم که نتیجه ی داستان چه بود یا برداشتمان باید چه باشد. بگذارید این طور توضیح بدهم. با یک مثال. من بلوطی پیر بودم پای یک کوه بلند نیمم آتش سوخت نیم دیگرم را باد برد شما این بیت حامد عسکری را خوانده اید. آیا حامد درخت بوده؟ آیا آتش گرفته؟ آیا باد او را برده است؟ نه. شاعر دچار احساس خاصی بوده و آن را این گونه بیان کرده. حالا شما می روید از او می پرسید چه شده بود که این بیت را سرودی؟ نه . شما فقط لذت می برید. آن احساس را درک میکنید. این بیت برای هر کسی یک جای زندگی اش اتفاق می افتد. برای هر کس با اتفاق خاص خودش، متناسب با زندگی خودش. به دنبال برداشت کسی نگردید. خودتان با داستان کلنجار بروید. حال عده ای هم از فضای غم انگیز و سنگین آن انتقاد میکنند. قرار نیست همه ی داستان ها سبک و شاد باشند. قرار نیست همه ی داستان ها نتیجه ی اخلاقی خود را در پایان برایتان توضیح بدهند. قرار نیست پایان داستان مشخصا خوب یا بد تمام شود. اگر دنبال چنین داستان هایی هستید اصلا سورئال نخوانید. نه تنها سورئال بلکه رمان نخوانید . بروید کتابی تهیه کنید که روی جلد آن نوشته شده (مناسب برای سنین زیر ۷ سال) . من در حدی نیستم که بخواهم نقدی بر بوف کور بنویسم. اما این را مطمئنم بوف کور نقطه ی غایی سورئال این کشور است. برای من تردیدی در این موضوع نیست. صادق هدایت منشا و چشمه ی جوشانی بود در تمام سبک های نویسندگی و تفکر. یک مدرسه ی تمام عیار. و اما در مورد بوف کور در وجود هر انسانی عشق و نفرت همزمان وجود دارند. غیرت و تعصب در کنار بی عاری و بی خیالی وجود دارد. انسان بالا و پایین دارد. در وجود همه ی ما همه چیز هست. حتا میل به زشتی و تلخی . میل به گناه در کنار میل به نیکی در تمام طول عمر در ما می زید. من از کسی که این را انکار کند سخت می هراسم. سخن آخر اینکه در سورئال قرار نیست واقعیت از توهم و خیال و رویا تشخیص داده شود. این تعریف سورئالیسم را صادق هدایت در اوج نشان داده. به بهترین حالت نشان داده. شما به هری پاتر یا ارباب حلقه ها سورئال می گویید؟ اشتباه میکنید. در آنها فقط بارقه هایی از سورئالیسم وجود دارد. بوف کور نمونه ی کامل سورئالیسم است. آن را در خود بیابید. در زندگیتان بیابید. اگر هم نیافتید مهم نیست. از خواندنش هیجان را و تلخی را با لذت کسب کنید.,5
یا کتاب نخوانیم و یا اگر خواستیم کتاب بخوانیم به چند کتاب بسنده نکنیم زیرا در این صورت احساس دانستن کاذبی به ما دست می دهد که محصولش نادانی ما است.,5
کتاب شاهکار است و درست. اما ای کاش فقط یک بار ما ایرانی جماعت، فقط یکبار سعی کنیم از کسی بت نسازیم. این هایی که اسطوره از صادق هدایت میسازند لطفا بروند خیل عظیم کار های بد و متوسطش را هم بخوانند. مسئله ی دیگر ی هم که هست کسانی اند که به خاطر یک چارچوب شخصی، یا یک ضعف و ناآگاهی اثر را به صورت کلی و اجتماعی قضاوت میکنند. اگر شما با سیال ذهن یا ادبیات مدرن آشنایی ندارید مشکل شماست عزیزجان دیگر که گفته حق دارید برای دیگران نسخه بپیچید که این کتاب مضحک را نخوانید که وقتتان تلف میشود؟ همین مشکل به طرزی فجیع تر راجع به دایره واژگان رخ میدهد، شخصی که میگوید کلمات قلنبه سلمبه زیاد داشت و خوشم نیامد. نویسنده موظف است طبق دانش واژگانی شما اثرش را بنویسد؟,5
فقط میترسم فردا بمیرم و هنوز خودم را نشناخته باشم... دوست داشتم👌,4
کتابهای صادق هدایت از اون دست کتابهاست که باید دقیق و عمیق مطالعه بشه و اینکه بایکبار مطالعش چیزی دستگیر آدم نمیشه بدلیل قلم سنگین و توصیفات و صحنه سازی های دشوارش...خوندن کتابهای صادق دلیل نمیشه که ماهم از دنیا زده بشیم و به فکر خودکشی باشیم من صادق رو انتخاب کردم که ببینم تو دنیای آدمایی که از زندگی لذت نمیبرن و دنیا براشون جای قشنگی نیس چی میگذره صادق میخواد بگه شکاکی اعتیاد هرزگی انزوا دوری از دوستان شهوت پرستی و خیلی مسائل دیگه هستن که انسان رو از زندگی سیر میکنن,5
بوف کور توی بمبئی هند ۵۰ نسخه چاپ شد . هدایت ۵۰ نسخه را خودش تایپ کرد. خودش ۵۰ تا نسخه رو فروخت. تو همون دوره حسین قلی مستعان ۱۰۰۰۰ نسخه چاپ می کرد مردم یک کیلومتر صف می بستند کتابش رو بخرند بخونند.( در چرند و پرند آمده) بماند که مزخرفاتش چندبار تحدید چاپ شدند. الآن حسین قلی مستعان جاودانه شده یا هدایت؟ بسه. بی شرمیه وقتی می فرمایید هدایت مخدرات و مسکرات مصرف می کرد در هنگام نوشتن این شاهکار. این همه فن و تکنیک در حال نشئگی ریخته شدند؟ با چند تا کتاب خوندن کسی منتقد ادبی نمیشه. هدایت در اواخر عمر خود قبل از اینکه به فرانسه برود به شهرت رسیده بوده، اخبار و مردم درموردش حرف می زدند و داستان هاش در مجله فردا نشریه فرانسوی چاپ می شد.( از کتاب نقد و تحلیل آثار برگزیده صادق هدایت از منصور هاشمی) این ها همه مستندند و می تونم منبع بهتون معرفی کنم.نفرمایید کسی کتابهاش رو نمی خوند پس خودکشی کرد. چون دروغ محض است,5
به نظرم نویسنده خیلی خوب اوضاع یک نفر رو که اختلال روانی داره نوشته.اونقدر که خواننده رو هم روانی میکنه😅البته من سالمم هنوز,4
حس و حال روانپریشیو متبحرانه القا کرد,5
نثر قوی و نگارش آثار صادق هدایت، حرفی برای گفتن باقی نمی‌ذاره. شهرت آثارش از محدوده مرزهای وطنش، فراتر رفته حتی. و این قابل تحسینه. اما یه نکته اینجا وجود داره. و اینکه خوندن یکسری آثار این نویسنده سن داره و منی که در اوان نوجوانی این کتابا رو خوندم اینو متوجه میشم و هنوز هم که هنوزه دارم با آثار منفی مطالعه این کتاب‌ها در سن کم سروکله میزنم. این کتاب باید زمانی خونده بشه، که ایدئولوژی فرد نسبت به زندگی به یه ساختار منسجم رسیده باشه و به سادگی قابل فروپاشی نباشه. وگرنه نگارش قوی این حس رو در یک فرد نوجوان بوجود میاره که هرچی نویسنده میگه درسته! و اینطور میشه که زمانیکه تازه فرد داره وارد زندگی اجتماعیش میشه از زندگی کلا زده میشه!! با وجود اینکه ممکنه این آثار، حتی حس زندگی رو در آدم بوجود بیاره... امیدوارم قشر دانای جامعه و طاقچه ورود پیدا کنن توی این زمینه.,4
