cleaned_text,label
سلام ادبیات آور اوایل متوجه شاهکار روبروست جهان بینی موافق فضای ذهنی دوست خواندن لذت لذت بردن نشده دان رمان شاهکار فهم مشکل خواننده گرد اتفاقا وقت گذاشته رویش کار نظرات ایجاد تمایل خودکشی خواننده موافق نیستم جنایی خوان تمایل جنایت ناممکن وجه معمول خواندن دلیل مضامین خیانت زناشویی بیست اندی سال توصیه امید رود جوانترها فضای فکری پاک زلالی پرورش یاب ذهن درگیر مسائل,1
طوری رمان خوان مطالعه نمونه سورئال ایران سورئال منطق رئالیسم ناتورالیسم فرق قرار گوی نتیجه بردا گذار توضیح مثال بلوطی پیر پای کوه بلند نیم آتش سوخت نیم دیگرم باد برد بیت حامد عسکری خوان حامد درخت آتش باد شاعر احساس خاصی پرس بیت سرا لذت احساس درک بیت اتفاق افت اتفاق متناسب دنبال برداشت گرد خودتان کلنجار عده فضای انگیز سنگین انتقاد قرار سبک شاد قرار نتیجه اخلاقی پایان برا توضیح قرار پایان مشخصا دنبال اصلا سورئال خوان سورئال رمان خوان کتابی جلد سنین سال حدی نیستم خواه نقدی نویس مطمئن نقطه غایی سورئال کشور تردید موضوع منشا چشمه جوشانی سبک نویسندگی تفکر مدرسه عیار انسانی عشق نفرت همزمان غیرت تعصب عاری خیالی انسان پایین حتا میل زشتی تلخی میل گناه میل نیکی عمر زید انکار سخت هراس سخن آخر سورئال قرار واقعیت توهم خیال رویا تشخیص تعریف سورئالیسم اوج نشان حالت نشان هری پاتر ارباب حلقه سورئال گوی اشتباه بارقه سورئالیسم نمونه سورئالیسم یاب زندگیتان یاب یاب خواندن هیجان تلخی لذت کسب,1
خوان خواه خوان بسنده صورت احساس دانستن کاذب دست محصول نادانی,1
شاهکار درست کاش ایرانی جماعت یکبار اسطوره لطفا خیل عظیم کار متوسط خوان مسئله خاطر چارچوب ضعف ناآگاهی صورت اجتماعی قضاوت سیال ذهن ادبیات مدرن آشنایی مشکل شماست عزیزجان نسخه پیچ مضحک خوان وقت تلف مشکل طرز فجیع راجع دایره واژگان کلمات قلنبه سلمبه نیامد موظف دانش واژگان نویس,1
ترس فردا میر خودم شناس دوست,1
کتابهای دست کتابهاست دقیق عمیق مطالعه بایکبار مطالع دستگیر آدم نمیشه بدلیل قلم سنگین توصیفات صحنه دشوار کتابهای دلیل نمیشه ماهم دنیا زده خودکشی انتخاب دنیای آدمایی لذت نمیبرن دنیا براشون قشنگی نیس میگذره میخواد بگه شکاک اعتیاد هرزگی انزوا دوری دوستان شهوت پرست مسائل دیگه هستن انسان سیر میکنن,1
توی بمبئی هند نسخه چاپ نسخه تایپ نسخه فروز همون دوره حسین قلی مستعان نسخه چاپ مردم کیلومتر بند بخونند چرند پرند مان مزخرفات چندبار تحدید چاپ الآن حسین قلی مستعان جاودانه بسه شرمیه فرمای مخدرات مسکرات مصرف نوشتن شاهکار تکنیک نشئگی ریز منتقد ادبی نمیشه اواخر عمر فرانسه شهرت رسیده اخبار مردم درمورد حرف هاش مجله فردا نشریه فرانسوی چاپ نقد تحلیل آثار برگزیده منصور هاشمی مستندند تون منبع بهتون معرفی فرمای خودکشی دروغ محض,1
نظرم اوضاع نفر اختلال روانی اونقدر خواننده روانی سالم,1
روانپریشیو متبحرانه القا,1
نثر قوی نگارش آثار حرفی گفتن باقی ذاره شهرت آثار محدوده مرز وطنش فراتر رفته تحسینه نکته یکسری آثار منی اوان نوجوانی کتابا اینو متوجه میشم هنوزه آثار منفی مطالعه سروکله زمانی خونده ایدئولوژی ساختار منسجم رسیده سادگی فروپاشی نباشه وگرنه نگارش قوی نوجوان بوجود میاره هرچ میگه درسته اینطور زمانیکه تازه اجتماع کلا زده ممکنه آثار آدم بوجود بیاره امیدوارم قشر دانا جامعه طاقچه ورود کنن توی زمینه,1
